id,created_at,text
1336847458836631553,2020-12-10 01:37:26,“10% of voters would have changed their vote if they knew about Hunter Biden.” Miranda Devine @nypost @TuckerCarlson  But I won anyway!
1336844470994821126,2020-12-10 01:25:33,"“If you’re looking for Election Rigging, look no further. That’s what this is. They kept information from the publi… https://t.co/ak8zX8UX3a"
1336811823232921600,2020-12-09 23:15:50,Wow! At least 17 States have joined Texas in the extraordinary case against the greatest Election Fraud in the hist… https://t.co/y36Ft1ibQC
1336733602902659075,2020-12-09 18:05:00,"At 10:00 P.M. on Election Evening, we were at 97% win with the so-called “bookies”."
1336730906107768842,2020-12-09 17:54:17,"If somebody cheated in the Election, which the Democrats did, why wouldn’t the Election be immediately overturned?… https://t.co/FZU7y9d5yv"
1336695746029121537,2020-12-09 15:34:35,#OVERTURN
1336691981981016066,2020-12-09 15:19:37,"No candidate has ever won both Florida and Ohio and lost. I won them both, by a lot! #SupremeCourt"
1336691515398250498,2020-12-09 15:17:46,"We will soon be learning about the word “courage”, and saving our Country. I received hundreds of thousands of lega… https://t.co/5BaWGjv77X"
1336686867656355850,2020-12-09 14:59:18,This case had nothing to do with me. Fake News (as usual!). https://t.co/CZnO4GFcco
1336682635725320193,2020-12-09 14:42:29,STOCK MARKETS AT NEW ALL TIME HIGHS!!!
1336680803682693126,2020-12-09 14:35:12,RIGGED ELECTION!
1336680713568071681,2020-12-09 14:34:51,There is massive evidence of widespread fraud in the four states (plus) mentioned in the Texas suit. Just look at a… https://t.co/YfDtvPResL
1336678973980487681,2020-12-09 14:27:56,Germany has consistently been used by my obnoxious critics as the country that we should follow on the way to handl… https://t.co/SMsd7vxUgh
1336668083822473221,2020-12-09 13:44:39,We will be INTERVENING in the Texas (plus many other states) case. This is the big one. Our Country needs a victory!
1336666810742149120,2020-12-09 13:39:36,This was not my case as has been so incorrectly reported. The case that everyone has been waiting for is the State’… https://t.co/AvOciPl67M
1336439050488647681,2020-12-08 22:34:34,NASDAQ and S&amp;P close at all-time highs. Congratulations!
1336415351383449601,2020-12-08 21:00:23,RT @WhiteHouse: Every waking moment is about one purpose: saving American lives by delivering safe and effective Coronavirus therapeutics a…
1336415114191400966,2020-12-08 20:59:27,"RT @WhiteHouse: ""The plan we put forward prioritizes the elderly and patients with underlying conditions, as well as healthcare workers and…"
1336415090770399236,2020-12-08 20:59:21,"RT @WhiteHouse: ""If authorized, tens of millions of vaccine doses will be available this month . . . and hundreds of millions more will qui…"
1336415057601761282,2020-12-08 20:59:13,"RT @WhiteHouse: Before Operation Warp Speed, the typical timeline for vaccine development and approval lasted years. https://t.co/fvVehwRWXn"
1336415036210864130,2020-12-08 20:59:08,"RT @WhiteHouse: ""From the instant the Coronavirus invaded our shores, we raced into action to develop a safe and effective vaccine . . .…"
1336411597330391046,2020-12-08 20:45:28,RT @WhiteHouse: LIVE: Operation Warp Speed Vaccine Summit https://t.co/ul5LUXKQWp
1336407510069161988,2020-12-08 20:29:14,They got caught because we were leading by so much more than they ever thought possible. Late night ballot “dumps”… https://t.co/vDp27cruKe
1336407243743498246,2020-12-08 20:28:10,Thank you and congratulations to General Flynn. He and his incredible family have suffered greatly! https://t.co/UjH6LVuON8
1336406321780977664,2020-12-08 20:24:30,RT @TheSolariReport: Tectonic plates are shifting https://t.co/WXY6kgLEvi
1336406230919688200,2020-12-08 20:24:09,RT @GrrrGraphics: You don't mess with #Texas! https://t.co/4M4PD7qkWl
1336406199818985474,2020-12-08 20:24:01,"RT @ColumbiaBugle: God Bless Texas!

https://t.co/ldDvZ5ykKp"
