id,created_at,text
1337267413763624960,2020-12-11 05:26:11,https://t.co/Om3mPWObcY
1337267355949391872,2020-12-11 05:25:57,https://t.co/PfJmvWYSp7
1337264489918554115,2020-12-11 05:14:34,https://t.co/0vXBKB8Nxb
1337256181866377216,2020-12-11 04:41:33,https://t.co/z82rCee6jS
1337254921243136001,2020-12-11 04:36:32,https://t.co/7Qslc09ZgH
1337249882139136001,2020-12-11 04:16:31,https://t.co/jauftZY0mM
1337220913528532992,2020-12-11 02:21:24,"Why didn’t the Fake News Media, the FBI and the DOJ report the Biden matter BEFORE the Election. Oh well, it’s OK,… https://t.co/8abZaeX1nI"
1337202242290671617,2020-12-11 01:07:13,Tremendous support from all over the Country. All we ask is COURAGE &amp; WISDOM from those that will be making one of… https://t.co/VH6pJM6X4k
1337195587771510784,2020-12-11 00:40:46,"19 states are fighting for us, almost unheard of support!"
1337195257776238592,2020-12-11 00:39:27,"No Presidential candidate ever came even close to losing an Election who won Iowa, Florida and Ohio. I won all three, by a lot!"
1337193947941249026,2020-12-11 00:34:15,"So true, a must read! https://t.co/DMP4vs5HV2"
1337191793461440513,2020-12-11 00:25:42,"RT @RepLeeZeldin: The lawsuit filed by TX to the Supreme Court &amp; supported by MANY others throughout the US is a very strong, compelling ar…"
1337145843653226496,2020-12-10 21:23:06,https://t.co/F9A3hwE7dS
1337131119632916481,2020-12-10 20:24:36,https://t.co/hab5WLhtrI
1337067127455539201,2020-12-10 16:10:19,Morocco recognized the United States in 1777.  It is thus fitting we recognize their sovereignty over the Western Sahara.
1337067073051238400,2020-12-10 16:10:06,Another HISTORIC breakthrough today! Our two GREAT friends Israel and the Kingdom of Morocco have agreed to full di… https://t.co/LJcGF6u7uW
1337067019385057290,2020-12-10 16:09:53,"Today, I signed a proclamation recognizing Moroccan sovereignty over the Western Sahara.  Morocco's serious, credib… https://t.co/dzdMdx35Uq"
1337062191598592002,2020-12-10 15:50:42,"RT @Lancegooden: Eric Swalwell spent 4 years targeting and harassing @realDonaldTrump, @DonaldJTrumpJr, and many others in the President’s…"
1337062099814674432,2020-12-10 15:50:20,"RT @Lancegooden: @RepAdrianSmith, @RepMoBrooks, @RepMullin, @RepRonWright, @RepBrianBabin, @RepDavidRouzer, @RepScottPerry, @RepRalphNorman…"
1337062086724247555,2020-12-10 15:50:17,"RT @Lancegooden: Thank you to @RepGosar, @RepAndyBiggsAZ, @replouiegohmert, @RepTedBudd, @CongressmanHice, @RepGregSteube, @RepAlexMooney,…"
1337062011520356352,2020-12-10 15:49:59,"RT @RepTedBudd: The DOJ needs to listen to #WeThePeople and address their election concerns NOW.

Glad to join @Lancegooden and more than t…"
1337061923058290688,2020-12-10 15:49:38,"RT @alexbruesewitz: LEADERSHIP. Thank you @Lancegooden!

Fight for @realDonaldTrump!"
1337061852719837185,2020-12-10 15:49:21,RT @RepDavidRouzer: Joined @LanceGooden and 25 of our colleagues to urge Attorney General Barr to appoint a Special Counsel to investigate…
1337052585547755523,2020-12-10 15:12:32,"Great. Most corrupt Election in history, by far. We won!!! https://t.co/nGMMaRQmz8"
1337052226498539522,2020-12-10 15:11:06,"RT @Lancegooden: Everybody's got their own OPINIONS about election fraud. 

I'm not interested in opinions. I want FACTS. https://t.co/nFtm…"
1337043739915788292,2020-12-10 14:37:23,Voter Fraud! https://t.co/6mLqg6rmIZ
1337043282946297860,2020-12-10 14:35:34,RT @GrahamLedger: The smartest man in the room declares under penalty of perjury that hundreds of thousands of votes were switched from Don…
1337042978557358083,2020-12-10 14:34:21,"RT @NealMowery: @MichaelCoudrey @realDonaldTrump Huawei cell phones cannot be distributed in this US because of imbedded security threats,…"
1337042714924380166,2020-12-10 14:33:18,"....The fact that our Country is being stolen. A coup is taking place in front of our eyes, and the public can’t ta… https://t.co/TO3HusAFAp"
1337042713544417282,2020-12-10 14:33:18,"“People are upset, and they have a right to be. Georgia not only supported Trump in 2016, but now. This is the only… https://t.co/lK3uB8TuQo"
1337042201738612736,2020-12-10 14:31:16,"“Donald Trump won by a landslide, and they stole it from him!” @seanhannity"
1337041669368258565,2020-12-10 14:29:09,How does Governor @BrianKempGA allow certification of votes without verifying signatures and despite the recently r… https://t.co/z9q6lMZxRn
1337040883988959232,2020-12-10 14:26:02,How can you give an election to someone who lost the election by hundreds of thousands of legal votes in each of th… https://t.co/hfc8P2Iyx4
1337040387349893121,2020-12-10 14:24:04,The Supreme Court has a chance to save our Country from the greatest Election abuse in the history of the United St… https://t.co/JkgrPXyuXa
